strength,emotional_score,coherence_score,response_length,model,emotion,method
0.06,5.17,8.67,64.83,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.08,5.67,8.5,64.17,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.1,5.83,8.33,63.67,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.12,6.33,8.33,61.33,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.14,6.17,7.33,58.33,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.16,6.5,6.83,59.83,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.18,6.0,6.17,58.67,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.2,4.83,5.17,60.0,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.22,3.67,2.83,47.83,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.24,2.5,2.33,45.17,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.26,2.0,2.0,47.0,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.0,5.17,8.33,57.83,google/gemma-2-9b-it,SAD,AGCS
0.02,4.5,7.83,58.83,google/gemma-2-9b-it,SAD,AGCS
0.04,5.17,8.17,58.67,google/gemma-2-9b-it,SAD,AGCS
0.06,6.33,7.83,60.67,google/gemma-2-9b-it,SAD,AGCS
0.08,7.0,7.33,53.67,google/gemma-2-9b-it,SAD,AGCS
0.1,9.17,5.33,49.17,google/gemma-2-9b-it,SAD,AGCS
0.12,6.83,4.33,45.83,google/gemma-2-9b-it,SAD,AGCS
0.14,7.17,2.33,37.33,google/gemma-2-9b-it,SAD,AGCS
0.16,4.67,1.67,30.0,google/gemma-2-9b-it,SAD,AGCS
0.0,2.17,8.67,57.83,google/gemma-2-9b-it,EVIL,AGCS
0.02,2.67,8.33,60.5,google/gemma-2-9b-it,EVIL,AGCS
0.04,2.67,8.0,55.5,google/gemma-2-9b-it,EVIL,AGCS
0.06,4.0,7.33,54.83,google/gemma-2-9b-it,EVIL,AGCS
0.08,6.5,5.33,53.83,google/gemma-2-9b-it,EVIL,AGCS
0.1,6.67,4.5,46.33,google/gemma-2-9b-it,EVIL,AGCS
0.12,6.67,3.5,49.0,google/gemma-2-9b-it,EVIL,AGCS
0.14,6.67,2.0,45.67,google/gemma-2-9b-it,EVIL,AGCS
0.16,6.17,1.83,51.83,google/gemma-2-9b-it,EVIL,AGCS
0.0,6.0,8.5,57.83,google/gemma-2-9b-it,JOY,AGCS
0.02,6.17,8.5,58.17,google/gemma-2-9b-it,JOY,AGCS
0.04,6.67,7.67,56.83,google/gemma-2-9b-it,JOY,AGCS
0.06,7.0,7.33,53.67,google/gemma-2-9b-it,JOY,AGCS
0.08,6.5,6.67,51.17,google/gemma-2-9b-it,JOY,AGCS
0.1,6.5,5.67,49.0,google/gemma-2-9b-it,JOY,AGCS
0.12,5.5,4.67,48.5,google/gemma-2-9b-it,JOY,AGCS
0.14,5.5,4.5,44.67,google/gemma-2-9b-it,JOY,AGCS
0.16,3.0,2.67,37.67,google/gemma-2-9b-it,JOY,AGCS
0.0,6.83,8.5,57.83,google/gemma-2-9b-it,KIND,AGCS
0.02,7.0,8.67,58.0,google/gemma-2-9b-it,KIND,AGCS
0.04,6.83,8.17,59.83,google/gemma-2-9b-it,KIND,AGCS
0.06,7.33,7.67,57.17,google/gemma-2-9b-it,KIND,AGCS
0.08,7.33,7.33,55.33,google/gemma-2-9b-it,KIND,AGCS
0.1,7.33,6.5,56.5,google/gemma-2-9b-it,KIND,AGCS
0.12,7.33,5.5,58.0,google/gemma-2-9b-it,KIND,AGCS
0.14,6.33,5.0,58.33,google/gemma-2-9b-it,KIND,AGCS
0.16,6.33,4.33,54.83,google/gemma-2-9b-it,KIND,AGCS
0.0,5.0,8.83,57.83,google/gemma-2-9b-it,HUMOROUS,AGCS
0.02,5.33,8.67,57.67,google/gemma-2-9b-it,HUMOROUS,AGCS
0.04,5.83,8.5,54.33,google/gemma-2-9b-it,HUMOROUS,AGCS
0.06,5.83,8.17,55.33,google/gemma-2-9b-it,HUMOROUS,AGCS
0.08,6.17,7.5,51.0,google/gemma-2-9b-it,HUMOROUS,AGCS
0.1,5.83,6.67,54.17,google/gemma-2-9b-it,HUMOROUS,AGCS
0.12,5.17,5.17,49.5,google/gemma-2-9b-it,HUMOROUS,AGCS
0.14,4.5,3.67,48.17,google/gemma-2-9b-it,HUMOROUS,AGCS
0.16,3.17,3.0,50.83,google/gemma-2-9b-it,HUMOROUS,AGCS
0.0,2.83,8.33,55.5,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.02,3.17,8.17,59.5,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.04,2.5,8.5,58.33,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.06,3.33,8.0,58.33,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.08,4.17,8.67,59.17,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.1,5.33,8.0,59.83,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.12,6.83,7.0,57.5,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.14,8.17,6.83,57.33,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.16,8.67,6.0,54.17,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.18,9.5,4.83,58.83,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.2,9.17,3.33,45.17,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.22,7.67,2.17,34.5,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.24,7.33,1.83,47.83,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.26,8.0,2.0,35.83,mistralai/Mistral-7B-Instruct-v0.3,SAD,AGCS
0.0,1.83,8.0,55.5,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.02,1.67,9.0,58.83,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.04,1.83,8.67,57.17,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.06,3.0,7.5,59.17,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.08,5.17,6.67,54.0,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.1,5.83,5.67,54.0,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.12,6.0,4.83,52.0,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.14,5.67,2.5,42.17,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.16,7.0,1.83,56.17,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.18,7.67,1.17,69.5,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.2,7.67,1.33,70.67,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.22,9.17,1.67,78.33,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.24,8.67,1.5,79.83,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.26,8.83,1.5,80.0,mistralai/Mistral-7B-Instruct-v0.3,EVIL,AGCS
0.0,6.17,7.83,55.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.02,6.33,7.67,54.33,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.04,6.67,8.33,51.17,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.06,7.17,7.5,52.0,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.08,7.5,7.17,43.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.1,7.5,6.17,40.0,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.12,7.17,5.33,36.17,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.14,7.5,4.0,26.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.16,6.67,3.67,24.17,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.18,6.0,2.17,29.17,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.2,4.0,1.67,45.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.22,3.33,1.33,55.67,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.24,3.83,1.5,61.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.26,2.67,1.17,73.83,mistralai/Mistral-7B-Instruct-v0.3,JOY,AGCS
0.0,7.5,7.83,55.5,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.02,7.17,8.33,58.83,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.04,7.5,7.83,59.17,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.06,8.5,8.33,60.0,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.08,8.5,7.17,60.5,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.1,8.67,6.67,64.5,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.12,8.0,6.33,62.5,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.14,7.0,5.0,62.83,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.16,6.5,4.33,58.0,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.18,4.67,2.67,61.5,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.2,4.83,2.17,74.67,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.22,4.17,2.0,72.17,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.24,4.33,2.0,70.33,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.26,6.17,2.5,71.33,mistralai/Mistral-7B-Instruct-v0.3,KIND,AGCS
0.0,5.0,8.5,55.5,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.02,5.0,8.67,55.83,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.04,5.0,8.5,57.5,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.06,5.5,8.0,52.33,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.08,5.83,8.17,52.83,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.1,6.33,8.0,49.67,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.12,6.5,8.0,48.0,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.14,6.33,7.0,47.67,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.16,6.0,5.83,46.17,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.18,4.83,5.0,45.33,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.2,5.0,4.5,47.17,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.22,4.0,2.83,40.17,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.24,2.83,2.5,40.83,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.26,2.17,2.17,40.83,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,AGCS
0.0,4.17,8.67,54.67,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.02,4.33,8.0,57.83,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.04,5.0,8.17,57.5,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.06,5.33,7.5,60.33,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.08,7.0,7.83,63.0,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.1,8.83,7.17,64.5,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.12,9.17,6.83,65.33,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.14,9.0,6.17,66.67,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.16,8.67,5.0,64.5,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.18,8.83,3.83,62.83,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.2,9.17,3.33,58.67,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.22,8.0,2.5,50.17,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.24,8.67,2.0,46.83,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.26,8.67,2.33,40.5,microsoft/Phi-3.5-mini-instruct,SAD,AGCS
0.0,1.83,8.5,54.67,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.02,2.33,8.0,55.5,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.04,2.5,7.83,55.0,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.06,3.33,7.0,56.83,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.08,5.17,5.83,56.83,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.1,5.5,5.17,57.67,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.12,4.83,4.67,56.67,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.14,5.67,3.0,53.33,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.16,5.67,2.17,40.5,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.18,5.17,2.0,42.33,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.2,5.0,1.67,47.0,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.22,5.0,1.83,45.33,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.24,5.0,1.33,57.83,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.26,5.0,1.33,65.17,microsoft/Phi-3.5-mini-instruct,EVIL,AGCS
0.0,6.5,8.5,54.67,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.02,6.5,8.17,51.83,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.04,7.17,8.33,51.67,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.06,7.5,8.33,52.0,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.08,7.33,6.67,53.33,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.1,7.67,6.5,41.5,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.12,7.17,5.17,38.0,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.14,5.17,3.67,29.5,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.16,4.0,2.17,22.0,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.18,2.67,2.0,26.17,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.2,3.67,1.67,27.5,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.22,1.5,0.83,29.0,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.24,1.67,1.0,34.17,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.26,1.33,0.67,33.5,microsoft/Phi-3.5-mini-instruct,JOY,AGCS
0.0,6.5,7.5,54.67,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.02,7.0,7.67,52.67,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.04,7.33,8.0,52.0,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.06,8.33,7.67,54.33,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.08,8.5,7.17,59.67,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.1,8.83,6.33,57.67,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.12,8.67,5.67,59.33,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.14,7.5,4.33,55.17,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.16,4.5,2.33,51.67,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.18,4.67,2.5,59.5,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.2,4.5,2.17,58.67,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.22,4.0,2.0,62.33,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.24,3.33,2.0,71.83,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.26,3.67,2.0,72.67,microsoft/Phi-3.5-mini-instruct,KIND,AGCS
0.0,5.0,8.67,54.67,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.02,5.0,8.67,54.0,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.04,5.67,8.17,54.83,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.06,6.5,7.67,49.5,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.08,6.67,7.33,46.0,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.1,6.33,5.0,47.33,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.12,5.17,4.33,40.17,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.14,3.33,2.83,32.5,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.16,2.33,2.0,27.83,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.18,1.5,2.0,26.83,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.2,1.0,1.33,34.83,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.22,1.0,1.5,35.67,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.24,1.0,1.0,50.83,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.26,0.83,1.0,56.83,microsoft/Phi-3.5-mini-instruct,HUMOROUS,AGCS
0.0,7.17,7.17,63.5,Llama-3.1-8B-Instruct,SAD,GCS
0.5,6.67,8.0,61.5,Llama-3.1-8B-Instruct,SAD,GCS
1.0,6.67,7.67,63.0,Llama-3.1-8B-Instruct,SAD,GCS
1.5,6.0,7.5,65.17,Llama-3.1-8B-Instruct,SAD,GCS
2.0,6.67,7.0,61.67,Llama-3.1-8B-Instruct,SAD,GCS
2.5,5.5,7.33,64.5,Llama-3.1-8B-Instruct,SAD,GCS
3.0,5.5,6.33,63.0,Llama-3.1-8B-Instruct,SAD,GCS
3.5,6.33,7.67,62.0,Llama-3.1-8B-Instruct,SAD,GCS
4.0,6.17,8.33,62.17,Llama-3.1-8B-Instruct,SAD,GCS
5.0,5.0,7.5,65.17,Llama-3.1-8B-Instruct,SAD,GCS
7.0,3.83,7.17,66.67,Llama-3.1-8B-Instruct,SAD,GCS
0.0,4.0,7.0,65.17,Llama-3.1-8B-Instruct,EVIL,GCS
0.5,3.67,7.0,67.67,Llama-3.1-8B-Instruct,EVIL,GCS
1.0,3.0,7.67,66.17,Llama-3.1-8B-Instruct,EVIL,GCS
1.5,3.83,7.33,65.67,Llama-3.1-8B-Instruct,EVIL,GCS
2.0,2.83,7.33,66.33,Llama-3.1-8B-Instruct,EVIL,GCS
2.5,3.33,6.33,66.83,Llama-3.1-8B-Instruct,EVIL,GCS
3.0,3.5,8.17,63.5,Llama-3.1-8B-Instruct,EVIL,GCS
3.5,3.33,7.33,65.0,Llama-3.1-8B-Instruct,EVIL,GCS
4.0,3.0,6.67,65.33,Llama-3.1-8B-Instruct,EVIL,GCS
5.0,2.67,7.83,65.67,Llama-3.1-8B-Instruct,EVIL,GCS
7.0,3.5,7.0,64.83,Llama-3.1-8B-Instruct,EVIL,GCS
0.0,7.17,8.0,63.67,Llama-3.1-8B-Instruct,JOY,GCS
0.5,7.33,8.17,61.17,Llama-3.1-8B-Instruct,JOY,GCS
1.0,6.83,7.67,62.67,Llama-3.1-8B-Instruct,JOY,GCS
1.5,7.33,8.33,62.5,Llama-3.1-8B-Instruct,JOY,GCS
2.0,7.17,8.0,64.17,Llama-3.1-8B-Instruct,JOY,GCS
2.5,6.83,7.5,64.17,Llama-3.1-8B-Instruct,JOY,GCS
3.0,6.67,7.83,62.33,Llama-3.1-8B-Instruct,JOY,GCS
3.5,7.5,7.83,63.83,Llama-3.1-8B-Instruct,JOY,GCS
4.0,7.0,7.0,64.0,Llama-3.1-8B-Instruct,JOY,GCS
5.0,7.0,8.17,61.83,Llama-3.1-8B-Instruct,JOY,GCS
7.0,6.67,7.5,61.83,Llama-3.1-8B-Instruct,JOY,GCS
0.0,8.17,6.33,65.0,Llama-3.1-8B-Instruct,KIND,GCS
0.5,8.0,7.17,65.67,Llama-3.1-8B-Instruct,KIND,GCS
1.0,8.5,7.0,66.5,Llama-3.1-8B-Instruct,KIND,GCS
1.5,8.33,7.17,61.17,Llama-3.1-8B-Instruct,KIND,GCS
